DATE,Sales_EUR
2018-10-01,586052.74
2018-11-01,526292.77
2018-12-01,271490.71
2019-01-01,381400.15
2019-02-01,368475.57
2019-03-01,591288.36
2019-04-01,418899.9
2019-05-01,298806.83999999997
2019-06-01,420707.73
2019-07-01,366980.26
2019-08-01,397537.2
2019-09-01,1084685.92
2019-10-01,111791.34
2019-11-01,542923.42
2019-12-01,491332.72000000003
2020-01-01,323769.2
2020-02-01,326973.94
2020-03-01,845857.76
2020-04-01,302765.68
2020-05-01,712746.38
2020-06-01,599831.93
2020-07-01,583157.61
2020-08-01,916909.76
2020-09-01,1337657.62
2020-10-01,153873.52
2020-11-01,904436.89
2020-12-01,1061969.46
2021-01-01,305820.25999999995
2021-02-01,1615468.03
2021-03-01,899610.15
2021-04-01,1070486.79
2021-05-01,813607.01
2021-06-01,1091239.79
2021-07-01,1207554.52
2021-08-01,1093379.99
2021-09-01,2036355.01
2021-10-01,356322.55
2021-11-01,1140720.52
2021-12-01,1174405.405
2022-01-01,1208090.29
2022-02-01,1239171.41
2022-03-01,1873520.38
2022-04-01,1336220.96
